,domLoadTime,networkTime,pageLoadTime,searchTime,url
172,627.0,637.0,0.0,770.0,http://www.google.com
173,533.0,555.0,0.0,625.0,http://www.bing.com
174,3270.0,965.0,35.0,3575.0,http://www.yahoo.co.jp
175,5071.0,1577.0,108.0,5316.0,http://www.naver.com
176,5409.0,297.0,51.0,5736.0,http://www.daum.net
177,4683.0,249.0,82.0,4998.0,http://www.nate.com
178,2833.0,295.0,25.0,3150.0,http://www.baidu.com
179,714.0,758.0,1.0,878.0,http://www.google.com
180,559.0,572.0,0.0,649.0,http://www.bing.com
181,3290.0,916.0,40.0,3581.0,http://www.yahoo.co.jp
182,5196.0,2163.0,108.0,5543.0,http://www.naver.com
183,5072.0,227.0,56.0,5329.0,http://www.daum.net
184,4739.0,1164.0,58.0,5028.0,http://www.nate.com
185,3032.0,259.0,22.0,3311.0,http://www.baidu.com
186,678.0,618.0,1.0,840.0,http://www.google.com
187,479.0,503.0,1.0,570.0,http://www.bing.com
188,3336.0,1084.0,29.0,3652.0,http://www.yahoo.co.jp
189,5108.0,1489.0,101.0,5324.0,http://www.naver.com
190,4876.0,225.0,60.0,5137.0,http://www.daum.net
191,4498.0,235.0,61.0,4777.0,http://www.nate.com
192,2926.0,228.0,23.0,3181.0,http://www.baidu.com
193,646.0,623.0,1.0,803.0,http://www.google.com
194,462.0,486.0,0.0,554.0,http://www.bing.com
195,3245.0,1002.0,31.0,3535.0,http://www.yahoo.co.jp
196,4832.0,1698.0,117.0,5059.0,http://www.naver.com
197,2681.0,225.0,22.0,2903.0,http://www.daum.net
198,5604.0,258.0,59.0,5911.0,http://www.nate.com
199,3358.0,256.0,25.0,3639.0,http://www.baidu.com
200,774.0,795.0,0.0,928.0,http://www.google.com
201,471.0,506.0,0.0,566.0,http://www.bing.com
202,3273.0,978.0,29.0,3572.0,http://www.yahoo.co.jp
203,5196.0,1693.0,99.0,5425.0,http://www.naver.com
204,5435.0,225.0,57.0,5694.0,http://www.daum.net
205,5391.0,235.0,74.0,5681.0,http://www.nate.com
206,3197.0,243.0,17.0,3457.0,http://www.baidu.com
207,609.0,544.0,0.0,770.0,http://www.google.com
208,548.0,571.0,0.0,639.0,http://www.bing.com
209,3255.0,904.0,29.0,3534.0,http://www.yahoo.co.jp
