,networkTime,pageLoadTime,searchTime,url
0,225.0,1233.0,1442.0,http://www.naver.com
1,304.0,1407.0,1659.0,http://www.daum.net
2,1857.0,2244.0,3760.0,http://www.baidu.com
3,652.0,761.0,893.0,http://www.google.com
4,640.0,622.0,726.0,http://www.bing.com
5,889.0,1114.0,1280.0,http://www.yahoo.co.jp
6,157.0,1146.0,1304.0,http://www.naver.com
7,241.0,1551.0,1769.0,http://www.daum.net
8,1419.0,3590.0,5076.0,http://www.baidu.com
9,503.0,569.0,710.0,http://www.google.com
10,709.0,699.0,804.0,http://www.bing.com
11,1096.0,1157.0,1400.0,http://www.yahoo.co.jp
12,187.0,1238.0,1400.0,http://www.naver.com
13,232.0,1287.0,1518.0,http://www.daum.net
14,1637.0,2029.0,3536.0,http://www.baidu.com
15,654.0,600.0,790.0,http://www.google.com
16,517.0,530.0,633.0,http://www.bing.com
17,933.0,1214.0,1337.0,http://www.yahoo.co.jp
18,204.0,1240.0,1418.0,http://www.naver.com
19,224.0,1329.0,1546.0,http://www.daum.net
20,1647.0,2395.0,3915.0,http://www.baidu.com
21,596.0,660.0,813.0,http://www.google.com
22,572.0,550.0,658.0,http://www.bing.com
23,888.0,1203.0,1387.0,http://www.yahoo.co.jp
24,160.0,1274.0,1418.0,http://www.naver.com
25,312.0,1373.0,1593.0,http://www.daum.net
26,1635.0,3369.0,4923.0,http://www.baidu.com
27,508.0,488.0,659.0,http://www.google.com
28,634.0,552.0,656.0,http://www.bing.com
29,598.0,989.0,1109.0,http://www.yahoo.co.jp
30,334.0,1191.0,1347.0,http://www.naver.com
31,211.0,1349.0,1562.0,http://www.daum.net
32,1476.0,2353.0,3928.0,http://www.baidu.com
33,481.0,969.0,1144.0,http://www.google.com
34,499.0,518.0,628.0,http://www.bing.com
35,706.0,1261.0,1396.0,http://www.yahoo.co.jp
36,153.0,1158.0,1308.0,http://www.naver.com
37,226.0,1571.0,1804.0,http://www.daum.net
